#,"Name  of the Police Station , ADDRESS & Phone number",District
50,"AW {C} Police Station, Dr. Nanjappa Road, Gandhipuram, Coimbatore.641018. PH: 0422 - 2301633 ",Coimbatore
51,"Tiruppur North Police Station, Tiruppur North PS, Coimbatore - 641601. PH: 0421-2239380",Coimbatore
52,"Tiruppur South Police Station, Tiruppur South PS, Coimbatore - 641601. PH: 0421-2251189",Coimbatore
53,"Tiruppur Rural Police Station, Tiruppur Rural PS, Coimbatore - 641601. PH: 0421-2219880",Coimbatore
54,"Anuppar Palayam Police Station, Anuppar Palayam PS, Coimbatore - 641601. PH: 0421-2238580",Coimbatore
55,"Avinashi Police Station, Avinashi PS, Coimbatore - 641601. PH: 04296-273149",Coimbatore
56,"Cheyar Police Station, Cheyar PS, Coimbatore - 641601. PH: 04296-287244",Coimbatore
57,"Palladam Police Station, Palladam PS, Coimbatore - 641664. PH: 04255-252100",Coimbatore
58,"Kamanaickenpalayam Police Station, Kamanaickenpalayam  PS, Coimbatore - 641658. PH: 04255-266222",Coimbatore
59,"Avinashipalayam Police Station, Avinashipalayam  PS, Coimbatore - 641665. PH: 0421-2312255",Coimbatore
60,"Udumalpet Police Station, Udumalpet  PS, Coimbatore - 641601. PH: 04252-223841",Coimbatore
61,"Gudimangalam Police Station, Gudimangalam  PS, Coimbatore - 641601. PH: 04252-273344",Coimbatore
62,"Komaralingam Police Station, Komaralingam  PS, Coimbatore - 641601. PH: 04252-278232",Coimbatore
63,"Dhally Police Station, Dhally PS, Coimbatore - 641601. PH: 04252-265250",Coimbatore
64,"Udumalipet W Police Station, Udumalipet WPS Coimbatore – 642126. PH: 04252-226798",Coimbatore
65,"Thiruppur W Police Station, Thiruppur WPSCoimbatore – 641601. PH: 0421-2202351",Coimbatore
66,"Avinashi W Police Station, Avinashi WPSCoimbatore – 641654. PH: 04296-275400",Coimbatore
67,"Palladam W Police Station, Palladam WPSCoimbatore – 641664. PH: 0422-255100",Coimbatore
68,"Kangayam  Police Station, Police Station,Dharapuram Road,Kangayam-638701. PH: 04257-230614",Coimbatore
69,"Uthiyur  Police Station, Kangayam to  Dharapuram Rd.,Uthiyur-638701.. PH: 04257-249244",Coimbatore
70,"Vellakoil   Police Station, Muthur Main Rd,Kongu Nagar,Vellakoil-638111. PH: 04257-260522",Coimbatore
71,"Dharapuram  Police Station, New Police Station St.,Thalavai Pattinam Road, Dharapuram-638656. PH: 04258-220208",Coimbatore
72,"Dharapuram  AW Police Station, New Police Station St.,Thalavai Pattinam Road, Dharapuram-638656. PH: 04342-260058",Coimbatore
73,"Alangiyam  Police Station, Palani Road,Alangiyam-638652. PH: 04258-245100",Coimbatore
74,"Kundadam  Police Station, Kovai MainRoad,Kundadam-638702. PH: 04258-263224",Coimbatore
